,0,LAT,LON
669,Britain,55.378051,-3.435973
670,Aberdeen,57.149717,-2.094278
671,china,35.86166,104.195397
672,Norway,60.47202399999999,8.468945999999999
673,Scotland,56.49067119999999,-4.2026458
674,Old Tom,44.9566797,-93.2775238
675,Aberdeen,57.149717,-2.094278
676,Storm Island,41.1787061,-74.32598460000001
677,Britain,55.378051,-3.435973
678,Aberdeen,57.149717,-2.094278
679,Aberdeen,57.149717,-2.094278
680,Storm Island,41.1787061,-74.32598460000001
681,London,51.5073509,-0.1277583
682,Aberdeen,57.149717,-2.094278
683,Storm Island,41.1787061,-74.32598460000001
684,London,51.5073509,-0.1277583
685,Storm Island,41.1787061,-74.32598460000001
686,London,51.5073509,-0.1277583
687,EAST ANGLIA,,
688,ENGLAND,52.3555177,-1.1743197
689,France,46.227638,2.213749
690,Germany,51.165691,10.451526
691,France,46.227638,2.213749
692,Normandy,48.87987039999999,0.1712529
693,England,52.3555177,-1.1743197
694,Australia,-25.274398,133.775136
695,Ryde Road,43.526624,-80.28325099999999
696,NSW 2073,-33.7627554,151.134494
697,Australia,-25.274398,133.775136
698,Avenue Road,43.6569927,-79.34451279999999
699,Toronto,43.653226,-79.3831843
700,Canada,56.130366,-106.346771
701,New Zealand,-40.900557,174.885971
702,New Zealand,-40.900557,174.885971
703,Auckland,-36.84830480000001,174.7624886
704,New Zealand,-40.900557,174.885971
705,United Kingdom,55.378051,-3.435973
706,Fulham Palace Road,51.4813926,-0.218081
707,London,51.5073509,-0.1277583
708,W6 8JB,51.4893892,-0.2227105
709,UK,55.378051,-3.435973
710,http://www.uk.harpercollinsebooks.com United States,,
711,East 53rd Street,40.7576996,-73.9693669
712,New York,40.7127753,-74.0059728
